trial_id,lstm_units,dropout_rate,dense_units,learning_rate,accuracy,loss,val_accuracy,val_loss,score
00,96,0.5,32,0.0001,0.4471421241760254,1.4461652040481567,0.024242423474788666,2.4181103706359863,0.024242423474788666
01,192,0.1,64,0.01,0.9524531960487366,0.13816073536872864,0.8909090757369995,0.35944926738739014,0.8909090757369995
02,192,0.4,64,0.01,0.8907435536384583,0.3152318298816681,0.7070707082748413,0.7075517177581787,0.7070707082748413
03,64,0.2,96,0.01,0.924127459526062,0.23969949781894684,0.8262626528739929,0.51362544298172,0.8262626528739929
04,256,0.1,32,0.0001,0.5923115611076355,1.1217514276504517,0.10707070678472519,2.574458122253418,0.10707070678472519
05,32,0.30000000000000004,32,0.0001,0.3550834655761719,1.7313472032546997,0.042424242943525314,1.8823541402816772,0.042424242943525314
06,256,0.2,96,0.01,0.7425392270088196,0.7143636345863342,0.30505049228668213,1.972548007965088,0.30505049228668213
07,192,0.4,128,0.001,0.9266565442085266,0.20900267362594604,0.8020201921463013,0.6183954477310181,0.8020201921463013
08,224,0.1,96,0.0001,0.6236722469329834,1.0378680229187012,0.10505050420761108,2.8602981567382812,0.10505050420761108
09,160,0.5,96,0.01,0.7126960158348083,0.7724456191062927,0.30505049228668213,1.6105619668960571,0.30505049228668213
10,32,0.4,96,0.001,0.6029337644577026,0.9877742528915405,0.15353535115718842,2.734907627105713,0.15353535115718842
11,96,0.5,32,0.001,0.9018715023994446,0.2731962203979492,0.6626262664794922,0.7705875635147095,0.6626262664794922
12,128,0.30000000000000004,32,0.01,0.898330807685852,0.29521235823631287,0.7595959305763245,0.7370917797088623,0.7595959305763245
13,160,0.1,96,0.01,0.8963075280189514,0.2947309613227844,0.8323232531547546,0.6268956661224365,0.8323232531547546
14,128,0.1,64,0.01,0.8745574355125427,0.3545980453491211,0.6181818246841431,0.9237537980079651,0.6181818246841431
15,160,0.2,64,0.01,0.9519473910331726,0.15685144066810608,0.842424213886261,0.6556457877159119,0.842424213886261
16,192,0.2,32,0.01,0.9357612729072571,0.21695619821548462,0.8727272748947144,0.4296160936355591,0.8727272748947144
17,96,0.1,128,0.01,0.9347496032714844,0.19965362548828125,0.8404040336608887,0.49973729252815247,0.8404040336608887
18,256,0.1,32,0.01,0.9549822807312012,0.14586077630519867,0.9010100960731506,0.35556939244270325,0.9010100960731506
19,256,0.30000000000000004,32,0.01,0.9150227904319763,0.27634674310684204,0.7010101079940796,0.7470521926879883,0.7010101079940796
20,192,0.1,32,0.01,0.9210925698280334,0.23608151078224182,0.7676767706871033,0.6645786762237549,0.7676767706871033
21,128,0.5,32,0.01,0.6600910425186157,0.8507243990898132,0.3595959544181824,2.215484619140625,0.3595959544181824
22,32,0.1,128,0.01,0.8765806555747986,0.34912118315696716,0.7030302882194519,0.8263602256774902,0.7030302882194519
23,96,0.2,128,0.01,0.9266565442085266,0.22349098324775696,0.868686854839325,0.4891763925552368,0.868686854839325
